postcode,brma_name
B27 6Y,Birmingham
B27 6Z,Birmingham
B27 7AA,Birmingham
B27 7AB,Birmingham
B27 7AD,Birmingham
B27 7AE,Solihull
B27 7AF,Solihull
B27 7AG,Solihull
B27 7AH,Solihull
B27 7AJ,Solihull
B27 7AL,Solihull
B27 7AN,Solihull
B27 7AP,Solihull
B27 7AQ,Birmingham
B27 7AR,Birmingham
B27 7AS,Birmingham
B27 7AT,Birmingham
B27 7AU,Birmingham
B27 7AW,Solihull
B27 7AX,Birmingham
B27 7AY,Birmingham
B27 7AZ,Birmingham
B27 7B,Birmingham
B27 7D,Birmingham
B27 7E,Birmingham
B27 7H,Birmingham
B27 7J,Birmingham
B27 7L,Birmingham
B27 7N,Birmingham
B27 7P,Birmingham
B27 7Q,Birmingham
B27 7R,Birmingham
B27 7S,Birmingham
B27 7T,Birmingham
B27 7U,Birmingham
B27 7W,Birmingham
B27 7X,Birmingham
B27 7Y,Birmingham
B28 0,Birmingham
